2025-10-09 07:02:19,6,9,3,4,6,8,7,3,4,4,6,3,2,7,4,8,9,7,7,4,0.287,normal
2025-10-09 07:02:49,6,5,6,8,8,6,4,6,6,3,5,8,1,4,4,4,9,7,8,4,0.384,normal
2025-10-09 07:03:19,6,4,6,4,8,8,6,6,6,3,4,4,1,7,5,8,6,6,4,7,0.346,normal
2025-10-09 07:03:49,3,6,3,5,7,4,6,2,6,6,4,8,2,7,3,7,8,4,7,5,0.364,normal
2025-10-09 07:04:19,8,4,3,6,6,8,5,6,4,7,5,3,1,6,4,7,6,7,7,3,0.387,normal
2025-10-09 07:04:49,7,5,7,8,7,8,5,6,6,5,5,6,3,5,4,7,9,4,5,6,0.394,normal
2025-10-09 07:05:19,7,5,5,8,7,8,5,4,5,7,4,5,1,4,3,4,9,5,5,7,0.312,normal
2025-10-09 07:05:49,3,5,5,6,8,5,7,5,6,5,7,5,2,4,5,8,9,6,8,4,0.317,normal
2025-10-09 07:06:19,7,7,7,6,5,4,8,5,3,3,7,8,3,4,6,6,9,5,5,5,0.385,normal
2025-10-09 07:06:49,3,9,3,3,9,5,8,2,6,3,7,6,1,4,4,4,6,5,8,6,0.318,normal
2025-10-09 07:07:19,7,9,4,7,6,4,4,5,6,5,4,3,1,7,7,6,5,4,8,6,0.299,normal
2025-10-09 07:07:49,7,5,5,4,9,7,7,3,4,7,7,5,2,8,3,8,5,6,4,3,0.418,normal
2025-10-09 07:08:19,5,9,6,8,9,8,7,3,5,6,4,8,2,4,5,7,8,5,8,4,0.376,normal
2025-10-09 07:08:49,8,6,5,5,5,5,4,4,3,6,8,4,3,5,3,5,6,4,8,3,0.314,normal
2025-10-09 07:09:19,2,5,3,8,7,7,7,3,4,4,8,7,2,4,6,8,5,7,4,3,0.287,normal
2025-10-09 07:10:27,7,7,6,8,5,7,8,5,5,7,5,4,3,6,7,6,5,6,8,5,0.375,normal
2025-10-09 07:10:27,2,7,5,7,7,7,4,4,7,4,4,8,1,4,5,8,6,7,5,4,0.304,normal
2025-10-09 07:10:57,8,4,7,5,9,5,4,5,5,4,4,8,2,6,5,8,6,6,6,4,0.469,normal
2025-10-09 07:10:57,7,9,7,6,5,8,6,3,5,5,8,3,2,4,7,7,9,4,4,6,0.354,normal
2025-10-09 07:11:27,4,8,7,7,5,8,8,6,3,3,5,6,1,4,7,6,5,6,6,3,0.372,normal
2025-10-09 07:11:27,5,5,3,4,8,7,5,2,4,3,8,3,1,7,4,4,5,6,8,5,0.321,normal
2025-10-09 07:11:57,7,4,3,5,8,4,5,4,3,3,6,7,3,7,7,6,7,6,5,3,0.432,normal
2025-10-09 07:11:57,2,8,4,3,7,4,5,5,5,6,4,4,1,5,6,5,5,6,6,7,0.26,normal
2025-10-09 07:12:18,14,7,1,6,5,8,6,2,6,5,9,1,1,10,6,4,9,7,7,5,0.844,flood
2025-10-09 07:12:27,12,4,3,8,5,4,7,2,4,4,6,2,2,12,5,4,9,7,5,3,0.861,flood
2025-10-09 07:12:27,15,7,4,5,9,5,4,5,3,7,7,4,2,10,7,5,5,6,7,5,0.918,flood
2025-10-09 07:12:48,15,4,4,4,9,6,7,2,5,6,8,4,3,7,6,7,5,4,7,7,0.95,flood
2025-10-09 07:12:57,13,5,4,4,9,5,7,5,3,4,7,4,3,11,5,6,6,5,4,4,0.916,flood
2025-10-09 07:12:57,16,8,2,5,5,5,7,2,6,7,10,3,2,8,3,4,9,7,7,7,0.867,flood
2025-10-09 07:13:18,13,7,3,3,8,5,5,5,7,6,9,3,1,7,6,8,7,5,4,5,0.89,flood
2025-10-09 07:13:27,16,6,4,3,7,8,7,4,7,4,8,1,3,9,7,7,9,5,8,3,0.902,flood
2025-10-09 07:13:27,15,6,4,7,7,7,6,6,7,5,7,3,3,9,5,6,9,5,4,7,0.927,flood
2025-10-09 07:13:48,12,6,3,8,5,4,8,5,6,7,6,1,3,7,3,6,9,4,8,6,0.748,flood
2025-10-09 07:13:57,15,6,1,5,5,4,6,4,7,5,6,1,2,9,5,7,6,4,6,3,0.778,flood
2025-10-09 07:13:57,15,5,3,7,5,6,8,2,5,3,7,2,1,9,3,5,9,6,5,6,0.893,flood
2025-10-09 07:14:18,12,6,2,7,9,6,6,2,3,4,9,1,2,11,5,8,7,7,6,6,0.842,flood
2025-10-09 07:14:27,12,8,2,6,6,4,4,2,4,5,8,4,1,12,5,4,7,4,5,4,0.888,flood
2025-10-09 07:14:27,15,8,3,6,8,5,4,6,5,5,7,1,1,11,6,5,6,4,5,7,0.907,flood
2025-10-09 07:14:48,3,4,5,3,7,8,7,5,3,6,8,3,1,5,4,4,6,7,8,4,0.27,normal
2025-10-09 07:14:57,2,5,3,7,7,7,6,3,3,6,8,4,1,5,3,4,8,5,7,3,0.238,normal
2025-10-09 07:14:57,2,9,3,5,5,6,7,5,5,5,5,7,2,6,4,8,8,4,5,7,0.261,normal
2025-10-09 07:15:18,6,8,3,5,7,7,7,6,7,4,7,4,2,6,4,6,7,7,8,6,0.318,normal
2025-10-09 07:15:27,7,9,6,8,8,6,6,2,3,4,8,7,3,6,3,8,9,4,5,7,0.39,normal
2025-10-09 07:15:27,3,7,4,3,7,4,7,3,4,6,8,8,1,7,4,6,7,5,6,6,0.313,normal
2025-10-09 07:15:48,7,5,5,3,5,5,8,2,7,6,7,4,2,4,4,8,7,5,7,3,0.308,normal
2025-10-09 07:15:57,2,5,4,7,9,5,8,3,3,3,7,8,1,8,6,6,5,4,5,7,0.352,normal
2025-10-09 07:15:57,8,9,4,7,7,6,6,6,5,7,6,8,2,7,5,5,9,5,7,5,0.38,normal
